"subjectid" "activity" "meas_type" "average"
5 "WALKING" "tGravityAcc-mean-X" 0.698153719072848
5 "WALKING" "tGravityAcc-mean-Y" 0.112313109736755
5 "WALKING" "tGravityAcc-mean-Z" 0.0921607197449904
5 "WALKING" "tBodyAccJerk-mean-X" 0.0841019899622517
5 "WALKING" "tBodyAccJerk-mean-Y" 0.0017656830384106
5 "WALKING" "tBodyAccJerk-mean-Z" -0.0029537113427351
5 "WALKING" "tBodyGyro-mean-X" -0.0294516873643046
5 "WALKING" "tBodyGyro-mean-Y" -0.0774316445596026
5 "WALKING" "tBodyGyro-mean-Z" 0.0866267116745033
5 "WALKING" "tBodyGyroJerk-mean-X" -0.103522877147351
5 "WALKING" "tBodyGyroJerk-mean-Y" -0.0490624519374172
5 "WALKING" "tBodyGyroJerk-mean-Z" -0.0506258160122517
5 "WALKING" "tBodyAccMag-mean" -0.460866415568709
5 "WALKING" "tGravityAccMag-mean" -0.460866415568709
5 "WALKING" "tBodyAccJerkMag-mean" -0.589313870006622
5 "WALKING" "tBodyGyroMag-mean" -0.602770284825828
5 "WALKING" "tBodyGyroJerkMag-mean" -0.707383517582782
5 "WALKING" "fBodyAcc-mean-X" -0.55123770513245
5 "WALKING" "fBodyAcc-mean-Y" -0.440232431795033
5 "WALKING" "fBodyAcc-mean-Z" -0.696171811490066
5 "WALKING" "fBodyAccJerk-mean-X" -0.604769869438742
5 "WALKING" "fBodyAccJerk-mean-Y" -0.550991969857417
5 "WALKING" "fBodyAccJerk-mean-Z" -0.768762357980132
5 "WALKING" "fBodyGyro-mean-X" -0.632239300829801
5 "WALKING" "fBodyGyro-mean-Y" -0.71706218781457
5 "WALKING" "fBodyGyro-mean-Z" -0.537329127293278
5 "WALKING" "fBodyAccMag-mean" -0.528503022745033
5 "WALKING" "fBodyBodyAccJerkMag-mean" -0.573176177044172
5 "WALKING" "fBodyBodyGyroMag-mean" -0.677355755703311
5 "WALKING" "fBodyBodyGyroJerkMag-mean" -0.748829309536424
6 "WALKING" "tBodyAcc-mean-X" 0.272376614181538
6 "WALKING" "tBodyAcc-mean-Y" -0.0175697042641846
6 "WALKING" "tBodyAcc-mean-Z" -0.11599454136
6 "WALKING" "tGravityAcc-mean-X" 0.688702063569231
6 "WALKING" "tGravityAcc-mean-Y" 0.0162055455953846
6 "WALKING" "tGravityAcc-mean-Z" 0.0475199990906462
6 "WALKING" "tBodyAccJerk-mean-X" 0.0813833604034769
6 "WALKING" "tBodyAccJerk-mean-Y" 0.000479281129661539
6 "WALKING" "tBodyAccJerk-mean-Z" -0.00225896302076923
6 "WALKING" "tBodyGyro-mean-X" -0.0433611785374462
6 "WALKING" "tBodyGyro-mean-Y" -0.0706129097498462
6 "WALKING" "tBodyGyro-mean-Z" 0.0973130293888923
6 "WALKING" "tBodyGyroJerk-mean-X" -0.0829159966093231
6 "WALKING" "tBodyGyroJerk-mean-Y" -0.0454921005615385
6 "WALKING" "tBodyGyroJerk-mean-Z" -0.0533610323667692
6 "WALKING" "tBodyAccMag-mean" -0.464770006998123
6 "WALKING" "tGravityAccMag-mean" -0.464770006998123
6 "WALKING" "tBodyAccJerkMag-mean" -0.551413652396923
6 "WALKING" "tBodyGyroMag-mean" -0.549494852037046
6 "WALKING" "tBodyGyroJerkMag-mean" -0.621936158532308
6 "WALKING" "fBodyAcc-mean-X" -0.506174926221538
6 "WALKING" "fBodyAcc-mean-Y" -0.392041410138769
6 "WALKING" "fBodyAcc-mean-Z" -0.683725945015385
6 "WALKING" "fBodyAccJerk-mean-X" -0.549394273848923
6 "WALKING" "fBodyAccJerk-mean-Y" -0.503558973703692
6 "WALKING" "fBodyAccJerk-mean-Z" -0.720867157741538
6 "WALKING" "fBodyGyro-mean-X" -0.537201442069846
6 "WALKING" "fBodyGyro-mean-Y" -0.621188724858462
6 "WALKING" "fBodyGyro-mean-Z" -0.507604207506462
6 "WALKING" "fBodyAccMag-mean" -0.473974924380431
6 "WALKING" "fBodyBodyAccJerkMag-mean" -0.494882316238462
6 "WALKING" "fBodyBodyGyroMag-mean" -0.579130051151385
6 "WALKING" "fBodyBodyGyroJerkMag-mean" -0.651886909221538
7 "WALKING" "tBodyAcc-mean-X" 0.270211697814935
7 "WALKING" "tBodyAcc-mean-Y" -0.0187904887668182
7 "WALKING" "tBodyAcc-mean-Z" -0.112492375388312
7 "WALKING" "tGravityAcc-mean-X" 0.681289120844156
7 "WALKING" "tGravityAcc-mean-Y" -0.0420221452496753
7 "WALKING" "tGravityAcc-mean-Z" 0.0342160711928604
7 "WALKING" "tBodyAccJerk-mean-X" 0.0831829573168831
7 "WALKING" "tBodyAccJerk-mean-Y" 0.00760909767418831
7 "WALKING" "tBodyAccJerk-mean-Z" -0.00791725696048701
7 "WALKING" "tBodyGyro-mean-X" -0.0518716929407792
7 "WALKING" "tBodyGyro-mean-Y" -0.0646077113078896
7 "WALKING" "tBodyGyro-mean-Z" 0.0977671721406169
7 "WALKING" "tBodyGyroJerk-mean-X" -0.0942037376182662
7 "WALKING" "tBodyGyroJerk-mean-Y" -0.0414401406082792
7 "WALKING" "tBodyGyroJerk-mean-Z" -0.0610307928148701
7 "WALKING" "tBodyAccMag-mean" -0.511312036747403
7 "WALKING" "tGravityAccMag-mean" -0.511312036747403
7 "WALKING" "tBodyAccJerkMag-mean" -0.622815767680292
7 "WALKING" "tBodyGyroMag-mean" -0.581899897967532
7 "WALKING" "tBodyGyroJerkMag-mean" -0.713191348337662
7 "WALKING" "fBodyAcc-mean-X" -0.593011288564935
7 "WALKING" "fBodyAcc-mean-Y" -0.563547785174026
7 "WALKING" "fBodyAcc-mean-Z" -0.531005941495552
7 "WALKING" "fBodyAccJerk-mean-X" -0.637521940243831
7 "WALKING" "fBodyAccJerk-mean-Y" -0.641687333850227
7 "WALKING" "fBodyAccJerk-mean-Z" -0.642515716574286
7 "WALKING" "fBodyGyro-mean-X" -0.643767578493507
7 "WALKING" "fBodyGyro-mean-Y" -0.630419275006169
7 "WALKING" "fBodyGyro-mean-Z" -0.655083354905844
7 "WALKING" "fBodyAccMag-mean" -0.518323878824675
7 "WALKING" "fBodyBodyAccJerkMag-mean" -0.553360009658182
7 "WALKING" "fBodyBodyGyroMag-mean" -0.628877272791136
7 "WALKING" "fBodyBodyGyroJerkMag-mean" -0.668879188156396
8 "WALKING" "tBodyAcc-mean-X" 0.278268887727273
8 "WALKING" "tBodyAcc-mean-Y" -0.0144537072594949
8 "WALKING" "tBodyAcc-mean-Z" -0.109006309141414
8 "WALKING" "tGravityAcc-mean-X" 0.601782571919192
8 "WALKING" "tGravityAcc-mean-Y" 0.187298246666667
8 "WALKING" "tGravityAcc-mean-Z" 0.177007409196192
8 "WALKING" "tBodyAccJerk-mean-X" 0.0686095366464646
8 "WALKING" "tBodyAccJerk-mean-Y" 0.00496415698757576
8 "WALKING" "tBodyAccJerk-mean-Z" -0.0110211649991919
8 "WALKING" "tBodyGyro-mean-X" -0.0246599261523232
8 "WALKING" "tBodyGyro-mean-Y" -0.0744394650058586
8 "WALKING" "tBodyGyro-mean-Z" 0.0811768351261616
8 "WALKING" "tBodyGyroJerk-mean-X" -0.107118837989899
8 "WALKING" "tBodyGyroJerk-mean-Y" -0.036876527389899
8 "WALKING" "tBodyGyroJerk-mean-Z" -0.0602582019292929
8 "WALKING" "tBodyAccMag-mean" -0.684607146515152
8 "WALKING" "tGravityAccMag-mean" -0.684607146515152
8 "WALKING" "tBodyAccJerkMag-mean" -0.725727509270707
8 "WALKING" "tBodyGyroMag-mean" -0.663265892582828
8 "WALKING" "tBodyGyroJerkMag-mean" -0.790885296565657
8 "WALKING" "fBodyAcc-mean-X" -0.744952162134343
8 "WALKING" "fBodyAcc-mean-Y" -0.581854533434343
8 "WALKING" "fBodyAcc-mean-Z" -0.779333525707071
8 "WALKING" "fBodyAccJerk-mean-X" -0.766583223
8 "WALKING" "fBodyAccJerk-mean-Y" -0.6623484276
8 "WALKING" "fBodyAccJerk-mean-Z" -0.825870984707071
8 "WALKING" "fBodyGyro-mean-X" -0.683114151139394
8 "WALKING" "fBodyGyro-mean-Y" -0.757568269575758
8 "WALKING" "fBodyGyro-mean-Z" -0.758361298306364
8 "WALKING" "fBodyAccMag-mean" -0.693568388292929
8 "WALKING" "fBodyBodyAccJerkMag-mean" -0.715745792606061
8 "WALKING" "fBodyBodyGyroMag-mean" -0.741679153929293
8 "WALKING" "fBodyBodyGyroJerkMag-mean" -0.817455544646465
8 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.266674048906593
8 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0202216031321978
8 "WALKING_UPSTAIRS" "tBodyAcc-mean-Z" -0.105614723352747
8 "WALKING_UPSTAIRS" "tGravityAcc-mean-X" 0.672365454230769
8 "WALKING_UPSTAIRS" "tGravityAcc-mean-Y" -0.0550675502272528
8 "WALKING_UPSTAIRS" "tGravityAcc-mean-Z" 0.0328742204443956
8 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0927048369369231
8 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" -0.00137201536971429
8 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Z" -0.0243776605506593
8 "WALKING_UPSTAIRS" "tBodyGyro-mean-X" 0.0189575502203297
8 "WALKING_UPSTAIRS" "tBodyGyro-mean-Y" -0.100127874875824
8 "WALKING_UPSTAIRS" "tBodyGyro-mean-Z" 0.0547905121285714
8 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean-X" -0.103800903023626
8 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean-Y" -0.0418414216578022
8 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean-Z" -0.0572174004291209
8 "WALKING_UPSTAIRS" "tBodyAccMag-mean" -0.350982093868132
8 "WALKING_UPSTAIRS" "tGravityAccMag-mean" -0.350982093868132
8 "WALKING_UPSTAIRS" "tBodyAccJerkMag-mean" -0.43009251566033
8 "WALKING_UPSTAIRS" "tBodyGyroMag-mean" -0.374467449722308
8 "WALKING_UPSTAIRS" "tBodyGyroJerkMag-mean" -0.60984136456044
8 "WALKING_UPSTAIRS" "fBodyAcc-mean-X" -0.493100898158791
8 "WALKING_UPSTAIRS" "fBodyAcc-mean-Y" -0.262394129472527
8 "WALKING_UPSTAIRS" "fBodyAcc-mean-Z" -0.426764775743407
8 "WALKING_UPSTAIRS" "fBodyAccJerk-mean-X" -0.496470870779121
8 "WALKING_UPSTAIRS" "fBodyAccJerk-mean-Y" -0.405368968365934
8 "WALKING_UPSTAIRS" "fBodyAccJerk-mean-Z" -0.545511445001648
8 "WALKING_UPSTAIRS" "fBodyGyro-mean-X" -0.556923952791209
8 "WALKING_UPSTAIRS" "fBodyGyro-mean-Y" -0.477139862384066
8 "WALKING_UPSTAIRS" "fBodyGyro-mean-Z" -0.398930833626374
8 "WALKING_UPSTAIRS" "fBodyAccMag-mean" -0.413399661273626
8 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag-mean" -0.427796629448901
8 "WALKING_UPSTAIRS" "fBodyBodyGyroMag-mean" -0.538348071541758
8 "WALKING_UPSTAIRS" "fBodyBodyGyroJerkMag-mean" -0.639438448496154
9 "STANDING" "tBodyAcc-mean-X" 0.270313841621528
9 "STANDING" "tBodyAcc-mean-Y" -0.0209466555412396
9 "STANDING" "tBodyAcc-mean-Z" -0.101233826213889
9 "STANDING" "tGravityAcc-mean-X" 0.670845545555556
9 "STANDING" "tGravityAcc-mean-Y" -0.0467446999509028
9 "STANDING" "tGravityAcc-mean-Z" 0.104353653032743
9 "STANDING" "tBodyAccJerk-mean-X" 0.0840171430291667
9 "STANDING" "tBodyAccJerk-mean-Y" 0.00678485848399306
9 "STANDING" "tBodyAccJerk-mean-Z" -0.00102998088194444
9 "STANDING" "tBodyGyro-mean-X" -0.0701318154561458
9 "STANDING" "tBodyGyro-mean-Y" -0.0729884312991667
9 "STANDING" "tBodyGyro-mean-Z" 0.109092913237986
9 "STANDING" "tBodyGyroJerk-mean-X" -0.0892254930640278
9 "STANDING" "tBodyGyroJerk-mean-Y" -0.0397344421815972
9 "STANDING" "tBodyGyroJerk-mean-Z" -0.053402884281875
9 "STANDING" "tBodyAccMag-mean" -0.505183470509188
9 "STANDING" "tGravityAccMag-mean" -0.505183470509188
9 "STANDING" "tBodyAccJerkMag-mean" -0.621608245092361
9 "STANDING" "tBodyGyroMag-mean" -0.550201866572569
9 "STANDING" "tBodyGyroJerkMag-mean" -0.7629795809375
9 "STANDING" "fBodyAcc-mean-X" -0.579258404408681
9 "STANDING" "fBodyAcc-mean-Y" -0.610267804090278
9 "STANDING" "fBodyAcc-mean-Z" -0.592119122804271
9 "STANDING" "fBodyAccJerk-mean-X" -0.621377141312847
9 "STANDING" "fBodyAccJerk-mean-Y" -0.699766614569444
9 "STANDING" "fBodyAccJerk-mean-Z" -0.702931927996528
9 "STANDING" "fBodyGyro-mean-X" -0.639863219559028
9 "STANDING" "fBodyGyro-mean-Y" -0.683924287600694
9 "STANDING" "fBodyGyro-mean-Z" -0.612680463163889
9 "STANDING" "fBodyAccMag-mean" -0.553186448295139
9 "STANDING" "fBodyBodyAccJerkMag-mean" -0.609193721940625
9 "STANDING" "fBodyBodyGyroMag-mean" -0.700863097986111
9 "STANDING" "fBodyBodyGyroJerkMag-mean" -0.786473954201389
10 "LAYING" "tBodyAcc-mean-X" 0.276977089565657
10 "LAYING" "tBodyAcc-mean-Y" -0.0170332984576263
10 "LAYING" "tBodyAcc-mean-Z" -0.110873504487879
10 "LAYING" "tGravityAcc-mean-X" 0.740684960252525
10 "LAYING" "tGravityAcc-mean-Y" -0.207161356161616
10 "LAYING" "tGravityAcc-mean-Z" 0.108410428305944
10 "LAYING" "tBodyAccJerk-mean-X" 0.0794633942257576
10 "LAYING" "tBodyAccJerk-mean-Y" 0.0169399674191919
10 "LAYING" "tBodyAccJerk-mean-Z" -0.0162372728227273
10 "LAYING" "tBodyGyro-mean-X" -0.0150986647713131
10 "LAYING" "tBodyGyro-mean-Y" -0.0917433860077424
10 "LAYING" "tBodyGyro-mean-Z" 0.0852285528396465
10 "LAYING" "tBodyGyroJerk-mean-X" -0.111993956719192
10 "LAYING" "tBodyGyroJerk-mean-Y" -0.0397793980300505
10 "LAYING" "tBodyGyroJerk-mean-Z" -0.0573109579154545
10 "LAYING" "tBodyAccMag-mean" -0.357419738586162
10 "LAYING" "tGravityAccMag-mean" -0.357419738586162
10 "LAYING" "tBodyAccJerkMag-mean" -0.462110641822066
10 "LAYING" "tBodyGyroMag-mean" -0.388314506775758
10 "LAYING" "tBodyGyroJerkMag-mean" -0.665691018181818
10 "LAYING" "fBodyAcc-mean-X" -0.391578450863636
10 "LAYING" "fBodyAcc-mean-Y" -0.384966594429798
10 "LAYING" "fBodyAcc-mean-Z" -0.554573027192929
10 "LAYING" "fBodyAccJerk-mean-X" -0.412057314516667
10 "LAYING" "fBodyAccJerk-mean-Y" -0.463058241109444
10 "LAYING" "fBodyAccJerk-mean-Z" -0.645684616799495
10 "LAYING" "fBodyGyro-mean-X" -0.523601248676313
10 "LAYING" "fBodyGyro-mean-Y" -0.545223158712121
10 "LAYING" "fBodyGyro-mean-Z" -0.458413809783333
10 "LAYING" "fBodyAccMag-mean" -0.388684286908081
10 "LAYING" "fBodyBodyAccJerkMag-mean" -0.385138891111111
10 "LAYING" "fBodyBodyGyroMag-mean" -0.572513090661616
10 "LAYING" "fBodyBodyGyroJerkMag-mean" -0.710849269646465
10 "STANDING" "tBodyAcc-mean-X" 0.276583204166667
10 "STANDING" "tBodyAcc-mean-Y" -0.0194909304979167
10 "STANDING" "tBodyAcc-mean-Z" -0.1121843393125
10 "STANDING" "tGravityAcc-mean-X" 0.441236068541667
10 "STANDING" "tGravityAcc-mean-Y" 0.2005691803125
10 "STANDING" "tGravityAcc-mean-Z" -0.05453204484375
10 "STANDING" "tBodyAccJerk-mean-X" 0.080527512159375
10 "STANDING" "tBodyAccJerk-mean-Y" 0.004611439794375
10 "STANDING" "tBodyAccJerk-mean-Z" -0.00128744623489583
10 "STANDING" "tBodyGyro-mean-X" -0.0255225107895833
10 "STANDING" "tBodyGyro-mean-Y" -0.0699903917025
10 "STANDING" "tBodyGyro-mean-Z" 0.10298476965625
10 "STANDING" "tBodyGyroJerk-mean-X" -0.10022438078125
10 "STANDING" "tBodyGyroJerk-mean-Y" -0.0478723615625
10 "STANDING" "tBodyGyroJerk-mean-Z" -0.0519245405385417
10 "STANDING" "tBodyAccMag-mean" -0.801728673104167
10 "STANDING" "tGravityAccMag-mean" -0.801728673104167
10 "STANDING" "tBodyAccJerkMag-mean" -0.8162927158125
10 "STANDING" "tBodyGyroMag-mean" -0.797174474479167
10 "STANDING" "tBodyGyroJerkMag-mean" -0.876313803854167
10 "STANDING" "fBodyAcc-mean-X" -0.822505930166667
10 "STANDING" "fBodyAcc-mean-Y" -0.720876538833333
10 "STANDING" "fBodyAcc-mean-Z" -0.862321343125
10 "STANDING" "fBodyAccJerk-mean-X" -0.826063598282292
10 "STANDING" "fBodyAccJerk-mean-Y" -0.744950073
10 "STANDING" "fBodyAccJerk-mean-Z" -0.878450186458333
10 "STANDING" "fBodyGyro-mean-X" -0.819983751770833
10 "STANDING" "fBodyGyro-mean-Y" -0.861050933645833
10 "STANDING" "fBodyGyro-mean-Z" -0.792357543844792
10 "STANDING" "fBodyAccMag-mean" -0.786961677072917
10 "STANDING" "fBodyBodyAccJerkMag-mean" -0.783269770302083
10 "STANDING" "fBodyBodyGyroMag-mean" -0.845024943541667
10 "STANDING" "fBodyBodyGyroJerkMag-mean" -0.8851999225
11 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.27658531139557
11 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0191272531933228
11 "WALKING_UPSTAIRS" "tBodyAcc-mean-Z" -0.108941761642405
11 "WALKING_UPSTAIRS" "tGravityAcc-mean-X" 0.730526184936709
11 "WALKING_UPSTAIRS" "tGravityAcc-mean-Y" 0.0527387028613924
11 "WALKING_UPSTAIRS" "tGravityAcc-mean-Z" 0.140209861246835
11 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0830134540658228
11 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0078044254343038
11 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Z" -0.00657424975259494
11 "WALKING_UPSTAIRS" "tBodyGyro-mean-X" -0.0547328440272468
11 "WALKING_UPSTAIRS" "tBodyGyro-mean-Y" -0.0582275770813291
11 "WALKING_UPSTAIRS" "tBodyGyro-mean-Z" 0.087284109682356
11 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean-X" -0.0805473309873418
11 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean-Y" -0.0493914065474684
11 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean-Z" -0.0480140167267405
